Report:	2025/01/03 12:30

Sample Name:	STO Lama002
File Name:	STO Lama002
Run Date:	2025/01/03 12:24
Operator:	

Control Item	
Control Item 1:	
Control Item 2:	
Control Item 3:	

Spectrophotometer	
Model:	UH5300 Spectrophotometer
SERIAL No.:	2947-051
(CPU1)Program No.:	3J15300-04
(CPU2)Program No.:	3J15310-10
Option:	6 Cell

Instrument Parameter	
Measurement Mode:	WL Scan
Data Mode:	Abs
Start WL(nm):	800.0
End WL(nm):	400.0
Scan Speed(nm/min):	200
Data Interval(nm):	1.0
Initial Delay(s):	1
Bandpass(nm):	1.0
Response:	Medium
6 Cell Mode:	Manual

Processing Item	
Peak	
Threshold:	0.001	
Sensitivity:	1	
Peak Table	
No.	WL(nm)	Peak	
251	550.0	0.087	
252	549.0	0.084	
253	548.0	0.082	
254	547.0	0.079	
255	546.0	0.076	
256	545.0	0.074	
257	544.0	0.072	
258	543.0	0.069	
259	542.0	0.067	
260	541.0	0.065	
261	540.0	0.063	
262	539.0	0.061	
263	538.0	0.060	
264	537.0	0.058	
265	536.0	0.056	
266	535.0	0.055	
267	534.0	0.053	
268	533.0	0.052	
269	532.0	0.051	
270	531.0	0.049	
271	530.0	0.048	
272	529.0	0.047	
273	528.0	0.046	
274	527.0	0.045	
275	526.0	0.044	
276	525.0	0.044	
277	524.0	0.042	
278	523.0	0.042	
279	522.0	0.041	
280	521.0	0.041	
281	520.0	0.040	
282	519.0	0.040	
283	518.0	0.039	
284	517.0	0.039	
285	516.0	0.038	
286	515.0	0.038	
287	514.0	0.038	
288	513.0	0.038	
289	512.0	0.037	
290	511.0	0.037	
291	510.0	0.037	
292	509.0	0.037	
293	508.0	0.037	
294	507.0	0.036	
295	506.0	0.036	
296	505.0	0.036	
297	504.0	0.036	
298	503.0	0.036	
299	502.0	0.036	
300	501.0	0.036	
301	500.0	0.036	
302	499.0	0.035	
303	498.0	0.035	
304	497.0	0.035	
305	496.0	0.035	
306	495.0	0.034	
307	494.0	0.034	
308	493.0	0.034	
309	492.0	0.034	
310	491.0	0.033	
311	490.0	0.033	
312	489.0	0.033	
313	488.0	0.032	
314	487.0	0.032	
315	486.0	0.032	
316	485.0	0.031	
317	484.0	0.031	
318	483.0	0.030	
319	482.0	0.030	
320	481.0	0.029	
321	480.0	0.029	
322	479.0	0.029	
323	478.0	0.028	
324	477.0	0.028	
325	476.0	0.027	
326	475.0	0.027	
327	474.0	0.027	
328	473.0	0.026	
329	472.0	0.026	
330	471.0	0.025	
331	470.0	0.025	
332	469.0	0.025	
333	468.0	0.024	
334	467.0	0.024	
335	466.0	0.024	
336	465.0	0.023	
337	464.0	0.023	
338	463.0	0.023	
339	462.0	0.022	
340	461.0	0.022	
341	460.0	0.022	
342	459.0	0.021	
343	458.0	0.021	
344	457.0	0.021	
345	456.0	0.021	
346	455.0	0.020	
347	454.0	0.020	
348	453.0	0.020	
349	452.0	0.019	
350	451.0	0.019	
351	450.0	0.019	
352	449.0	0.019	
353	448.0	0.018	
354	447.0	0.018	
355	446.0	0.018	
356	445.0	0.018	
357	444.0	0.018	
358	443.0	0.018	
359	442.0	0.017	
360	441.0	0.017	
361	440.0	0.017	
362	439.0	0.017	
363	438.0	0.017	
364	437.0	0.017	
365	436.0	0.017	
366	435.0	0.017	
367	434.0	0.017	
368	433.0	0.017	
369	432.0	0.017	
370	431.0	0.017	
371	430.0	0.018	
372	429.0	0.018	
373	428.0	0.018	
374	427.0	0.018	
375	426.0	0.018	
376	425.0	0.018	
377	424.0	0.018	
378	423.0	0.018	
379	422.0	0.019	
380	421.0	0.019	
381	420.0	0.019	
382	419.0	0.019	
383	418.0	0.020	
384	417.0	0.020	
385	416.0	0.021	
386	415.0	0.022	
387	414.0	0.023	
388	413.0	0.023	
389	412.0	0.024	
390	411.0	0.026	
391	410.0	0.027	
392	409.0	0.029	
393	408.0	0.030	
394	407.0	0.032	
395	406.0	0.034	
396	405.0	0.037	
397	404.0	0.039	
398	403.0	0.041	
399	402.0	0.044	
400	401.0	0.046	
401	400.0	0.048	

